"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"40","Chile","CHL","london-2012",TRUE,17519000,0,0,0,0,0,0,0,0,0
"41","China","CHN","london-2012",TRUE,1369521000,64,3,1,0,0,18,82,91,86
"42","Taiwan","TWN","london-2012",TRUE,23346000,2,0,0,0,0,0,2,2,2
"43","Colombia","COL","london-2012",TRUE,45716000,9,0,0,0,0,0,9,9,9
"44","Comoros","COM","london-2012",TRUE,682000,0,0,0,0,0,0,0,0,0
"45","Republic of the Congo","COG","london-2012",TRUE,4740000,0,0,0,0,0,0,0,0,0
"46","Democratic Republic of the Congo","COD","london-2012",TRUE,73255000,0,0,0,0,0,0,0,0,0
"47","Cook Islands","COK","london-2012",TRUE,18000,0,0,0,0,0,0,0,0,0
"48","Costa Rica","CRI","london-2012",TRUE,4664000,0,0,0,0,0,0,0,0,0
"49","Ivory Coast","CIV","london-2012",TRUE,23467000,0,0,0,0,0,0,0,0,0
"50","Croatia","HRV","london-2012",TRUE,4259000,3,0,0,0,0,3,6,6,6
"51","Cuba","CUB","london-2012",TRUE,11303000,15,0,0,0,0,0,15,15,15
"52","Cyprus","CYP","london-2012",TRUE,1165000,1,0,0,0,0,0,1,1,1
"53","Czech Republic","CZE","london-2012",TRUE,10507000,9,0,0,0,0,2,11,11,11
"54","Denmark","DNK","london-2012",TRUE,5592000,4,0,0,0,0,5,9,9,9
"55","Djibouti","DJI","london-2012",TRUE,967000,0,0,0,0,0,0,0,0,0
"56","Dominica","DMA","london-2012",TRUE,69000,0,0,0,0,0,0,0,0,0
"57","Dominican Republic","DOM","london-2012",TRUE,10070000,2,0,0,0,0,0,2,2,2
"58","Ecuador","ECU","london-2012",TRUE,15572000,0,0,0,0,0,0,0,0,0
"59","Egypt","EGY","london-2012",TRUE,93161000,4,0,0,0,0,0,4,4,4
"60","El Salvador","SLV","london-2012",TRUE,6114000,0,0,0,0,0,0,0,0,0
"61","Equatorial Guinea","GNQ","london-2012",TRUE,1293000,0,0,0,0,0,0,0,0,0
"62","Eritrea","ERI","london-2012",TRUE,3037000,0,0,0,0,0,0,0,0,0
